100,5000,0.1151
100,10000,0.1215
100,15000,0.1567
100,20000,0.2192
100,25000,0.3382
100,30000,0.4808
100,35000,0.6028
100,40000,0.6995
100,45000,0.7627
100,50000,0.8079
100,55000,0.8431
100,60000,0.8685
200,5000,0.1141
200,10000,0.1214
200,15000,0.1544
200,20000,0.2106
200,25000,0.3249
200,30000,0.4628
200,35000,0.5936
200,40000,0.6904
200,45000,0.758
200,50000,0.8073
200,55000,0.8433
200,60000,0.8668
300,5000,0.1142
300,10000,0.1211
300,15000,0.1529
300,20000,0.2071
300,25000,0.3194
300,30000,0.4573
300,35000,0.5921
300,40000,0.6886
300,45000,0.7573
300,50000,0.8076
300,55000,0.8422
300,60000,0.865
400,5000,0.1144
400,10000,0.1209
400,15000,0.1511
400,20000,0.2059
400,25000,0.3158
400,30000,0.455
400,35000,0.5899
400,40000,0.6873
400,45000,0.7558
400,50000,0.8063
400,55000,0.8418
400,60000,0.8638
500,5000,0.1145
500,10000,0.1208
500,15000,0.1501
500,20000,0.2054
500,25000,0.3169
500,30000,0.4561
500,35000,0.5902
500,40000,0.6875
500,45000,0.7569
500,50000,0.8072
500,55000,0.843
500,60000,0.8641
600,5000,0.1145
600,10000,0.1209
600,15000,0.1493
600,20000,0.2044
600,25000,0.316
600,30000,0.457
600,35000,0.5909
600,40000,0.6882
600,45000,0.7567
600,50000,0.807
600,55000,0.8431
600,60000,0.8639
700,5000,0.115428571429
700,10000,0.1209
700,15000,0.1494
700,20000,0.2044
700,25000,0.3161
700,30000,0.457
700,35000,0.5907
700,40000,0.6881
700,45000,0.7569
700,50000,0.8072
700,55000,0.8432
700,60000,0.864
784,5000,0.1145
784,10000,0.120363636364
784,15000,0.1494
784,20000,0.2044
784,25000,0.3161
784,30000,0.457
784,35000,0.5907
784,40000,0.6881
784,45000,0.7569
784,50000,0.8072
784,55000,0.8432
784,60000,0.864
