100,5000,0.1266
100,10000,0.1679
100,15000,0.1357
100,20000,0.205
100,25000,0.2162
100,30000,0.2275
100,35000,0.2065
100,40000,0.2309
100,45000,0.2305
100,50000,0.213
100,55000,0.2378
100,60000,0.2373
200,5000,0.098
200,10000,0.1094
200,15000,0.1224
200,20000,0.149
200,25000,0.1691
200,30000,0.1984
200,35000,0.27
200,40000,0.3262
200,45000,0.3571
200,50000,0.3887
200,55000,0.4378
200,60000,0.4521
300,5000,0.1026
300,10000,0.101
300,15000,0.1064
300,20000,0.1083
300,25000,0.1123
300,30000,0.1495
300,35000,0.2116
300,40000,0.3798
300,45000,0.4724
300,50000,0.5649
300,55000,0.6148
300,60000,0.6294
400,5000,0.1033
400,10000,0.1389
400,15000,0.1739
400,20000,0.2293
400,25000,0.2674
400,30000,0.3463
400,35000,0.4085
400,40000,0.5128
400,45000,0.5732
400,50000,0.6343
400,55000,0.6979
400,60000,0.7216
500,5000,0.1196
500,10000,0.14
500,15000,0.1875
500,20000,0.2823
500,25000,0.3399
500,30000,0.4465
500,35000,0.5176
500,40000,0.6121
500,45000,0.6825
500,50000,0.7351
500,55000,0.7904
500,60000,0.8125
600,5000,0.1336
600,10000,0.1219
600,15000,0.1361
600,20000,0.1948
600,25000,0.2743
600,30000,0.4194
600,35000,0.5409
600,40000,0.6576
600,45000,0.7282
600,50000,0.783
600,55000,0.8263
600,60000,0.8521
700,5000,0.1259
700,10000,0.1271
700,15000,0.1329
700,20000,0.192
700,25000,0.2727
700,30000,0.4292
700,35000,0.5609
700,40000,0.669
700,45000,0.7435
700,50000,0.7972
700,55000,0.839
700,60000,0.8621
784,5000,0.1259
784,10000,0.1271
784,15000,0.1329
784,20000,0.1918
784,25000,0.2718
784,30000,0.4289
784,35000,0.5583
784,40000,0.6672
784,45000,0.7421
784,50000,0.7963
784,55000,0.8382
784,60000,0.8621
