100,5000,0.1228
100,10000,0.1655
100,15000,0.1892
100,20000,0.2051
100,25000,0.2169
100,30000,0.2285
100,35000,0.2275
100,40000,0.2324
100,45000,0.2325
100,50000,0.2323
100,55000,0.2321
100,60000,0.2395
200,5000,0.1123
200,10000,0.1185
200,15000,0.1181
200,20000,0.1394
200,25000,0.1688
200,30000,0.2076
200,35000,0.2681
200,40000,0.3131
200,45000,0.3585
200,50000,0.3975
200,55000,0.4244
200,60000,0.4497
300,5000,0.1029
300,10000,0.1023
300,15000,0.1031
300,20000,0.106
300,25000,0.1169
300,30000,0.1408
300,35000,0.2283
300,40000,0.3661
300,45000,0.4862
300,50000,0.5642
300,55000,0.611
300,60000,0.6364
400,5000,0.1056
400,10000,0.1627
400,15000,0.1764
400,20000,0.2163
400,25000,0.2695
400,30000,0.339
400,35000,0.4197
400,40000,0.5058
400,45000,0.5813
400,50000,0.6417
400,55000,0.6876
400,60000,0.7194
500,5000,0.1183
500,10000,0.1501
500,15000,0.1977
500,20000,0.266
500,25000,0.3422
500,30000,0.4323
500,35000,0.528
500,40000,0.6133
500,45000,0.6869
500,50000,0.7418
500,55000,0.783
500,60000,0.8082
600,5000,0.1135
600,10000,0.1203
600,15000,0.1425
600,20000,0.1975
600,25000,0.2964
600,30000,0.4351
600,35000,0.5699
600,40000,0.6685
600,45000,0.7429
600,50000,0.7926
600,55000,0.8286
600,60000,0.853
700,5000,0.1145
700,10000,0.1209
700,15000,0.1494
700,20000,0.2045
700,25000,0.3166
700,30000,0.4588
700,35000,0.5926
700,40000,0.6889
700,45000,0.7573
700,50000,0.8081
700,55000,0.8429
700,60000,0.8638
784,5000,0.1145
784,10000,0.1209
784,15000,0.1494
784,20000,0.2044
784,25000,0.3161
784,30000,0.457
784,35000,0.5907
784,40000,0.6881
784,45000,0.7569
784,50000,0.8072
784,55000,0.8432
784,60000,0.864
